,mem,int,tru,emp,aes,itt,cft,topic,img_index,mem-why,int-why,tru-why,emp-why,aes-why,itt-why,cft-why,chart_name
698,7,7,7,7,7,7,7,GlobalWarming,11,The layout allows people to differentiate from the information ,I can see everything that I need to,I think this information can be found out easily,It shows worrying factors from everyday life,The colours and the images are perfect and explain everything easily.,Should be able to find this information out easily.,It makes me feel comfortable and allows me to understand the information properly.,GlobalWarming-11
699,7,7,7,7,7,7,7,GlobalWarming,12,The patterns are all very similar on the chart.,Easy to follow and shows the Earth temperature over the years,Should be easy to find this information,Worrying to see the changes that had happened,I like that all of the graph points are similar,Easy information to work out.,Makes me feel comfortable as the colours are appealing,GlobalWarming-12
700,2,7,7,7,7,7,7,GlobalWarming,1,Hard to split all of them up within the darker colours,Great way to show the world's temperature change,I believe this could be accurate,Scary to see some of the temperature changes,The colours look great,I believe this would be true,I like the overall layout of the chart,GlobalWarming-1
701,7,7,7,7,7,7,7,GlobalWarming,8,I think it's set out very well.,Very interesting to see the changes over the years,Should be easy to calculate,Worrying numbers for some countries ,I like the change of colours and that they are completely separate,I think this looks trustworthy and accurate,Makes me feel at ease ,GlobalWarming-8
702,6,7,6,6,6,6,6,HousePrice,1,"It can be remembered, at least the clear tendency, but maybe the specific details not so much","It shows a reality that affects daily lives and the less chances people have now to actually own a house, which is a global issue","It seems very complete, that can give that feeling","I usually don't think charts make you empathize, but it happens with this one I think, since it's a reality that also affects me in my own country","A lot of colors, it actually looks nice",It's easy to follow,"I do, it's direct with the information it wants to present",HousePrice-1
703,5,6,6,5,6,5,5,HousePrice,8,"Yes but not really, extremes like croatia and germany would be easier to remember","It is, since it shows that the housing issue is dealt differently within europe itself",It looks very detailed and it gives a link to the source,"Yes but not really, like I mentioned before, the housing issue affects me as well, it would be interesting to see what's happening to the countries in which the price is actually going down instead of up","Colors are well chosen, clear distinction","Less intuitive and clear than the other charts, but still understandable",It's a chart that shows different realities within a close region,HousePrice-8
704,3,6,5,5,6,2,2,HousePrice,9,"It feels a bit crowded with information, it seems that the real US housing price hasn't really changed that much while considering inflation, but other aspects are not considered, such as income","It's interesting to go back more than a century before to see how drastically things have changed in the last couple of decades, would be better to see this but updated to 2024 and not only until 2015","Looks complete, but kind of all over the place, not showing income and just inflation takes away a bit of trust","It's an interesting approach to the problem, to show that the real US housing price index hasn't changed that much, even going back to the 1890`s, but still, doesn't consider all information","Colors are well chosen, but it looks better than it reads",Took me longer than the other ones to understand it,"It's an interesting issue but the presentation could have been done better, like the ones that were shown before",HousePrice-9
705,0,0,1,0,5,1,1,HousePrice,10,"It's not easy to understand right away, days, months and years don't seem clearly shown, and why those specific months and years are chosen",The subject itself is interesting but the choice of years and months seems arbitrary,"It seems all over the place, there's no source, looks a bit unprofessional because of it","I would like to but I lack information, it's not layed out like the other charts","it's normal, but it lacks information, makes it weird to look at","I don't understand clearly if the months are considering days or even years, it seems done without much care for the dates","It feels off, the date consideration and even the background image",HousePrice-10
706,7,7,7,6,7,7,7,HousePrice,11,It shows that the difference between prices and inflation is actually lower than it used to be,"It's a very important matter, but at the same time, it shows that the problem could be worse somehow, doesn't consider other factors, such as actual income comparison",It looks actually well done and has a source for it,It's a very important reality that needs to be studied worldwide,"It's the best looking chart so far, it shows the actual problem in a creative way",It's well layed out,"Since it's the best looking one, even though it is a complicated subject, it feels more welcoming ",HousePrice-11
707,7,7,7,7,6,7,7,HousePrice,12,"It shows drastic differences for an important subject, it is, income hasn't gone up as it should have considering inflation and the housing prices","It shows the missing factor of the other charts, the actual income change over the years",It has a source and it's well layed out,"It's an important reality that needs to be studied from every possible angle, this one being the focus on income","It looks very well, but it seems more useful than good for the eyes, unlike the chart that came before, which was very creative","It's easy to read, even though it may seem like a lot of text on  it, it's clearer than others",It shows an important subject using a different approach than the other charts,HousePrice-12
708,5,7,6,7,4,3,4,GlobalWarming,6,Once you get through how this chart is designed it's good. But the first few minutes are irritating.,The topic is interesting and important,"Looks good , not sure but looks good","Sure , important.",Kinda meh.,Not at all,"Once u understand it , sure",GlobalWarming-6
709,7,7,4,7,7,7,7,GlobalWarming,7,Way better than the first one and more obvious in what it wants to convey,"Sure , same topic still good..","If its nasa yes, but there is no real source so idk.",sure,sure,yes,yes,GlobalWarming-7
710,5,7,0,7,6,6,6,GlobalWarming,8,"Yes , since its good designed","Yes , good topic , again ","No clue , no source",yes,"yes, good colors",yes,yes,GlobalWarming-8
711,2,7,4,5,3,1,1,GlobalWarming,9,Not at all ,"Very good topic still , and important","Yes, finally a source","I mean , the topic yes, the design no","My eyes, the colors , oh no ","no, not at all sadly",This chart is everywhere and nowhere,GlobalWarming-9
712,7,7,4,7,4,7,7,GlobalWarming,10,Red=bad,Topic good,Source seems good ,TOpic good,Too much on the red. ,yes,yes,GlobalWarming-10
713,7,7,0,7,7,3,7,GlobalWarming,11,Very good design,"Yes , still good topic",No source,Yes,"Yes , seems very good","looks good ,not really intuitive ",Looks good ,GlobalWarming-11
714,3,2,5,6,4,5,2,COVID,9,The color of the chart makes it a bit difficult to read and understand at first glance. ,Personally I think it's common sense that as we've distributed the vaccine and been in quarantine there would be a major decrease in cases.,The chart looks very professional and well formatted,I've been through quarantine myself like everyone else so it's easy to empathize with the decrease in cases,It does look professionally made but it's a bit hard to understand,Once you use the legend it's not too hard to understand and see the trend,I dont like the manner in which the information is placed on top of each other by year,COVID-9
715,6,5,6,6,7,7,7,COVID,10,The chart is very easy to understand and the major peaks of cases make the chart more memorable,It is mildly interesting to see the points at which covid 19 was at its peak in the United States,The chart feels in line with general information I remember at the time with 2 big covid 19 peaks and the curve going down after,It is very easy to empathize with charts about Covid-19 because it had affected all of us in usually a negative way.,The colors blend well together and  I like the use of a darker tone of red as we reach the peaks of cases,"The chart is very easy to understand at a simple glance and doesn't require any use of a legend, just the 2 axes.",The information is well balanced and specific and I can pinpoint how covid-19 was in a general month,COVID-10
716,3,3,5,3,5,5,5,COVID,11,The chart looks aesthetically pleasing but there is so much going on that it can overload my brain with information. Generally I would remember the big numbers like Ontario and Quebec but the other provinces are easily forgettable ,"It would make sense for the hotspots like Ontario, Alberta British Columbia and Quebec to all receive more covid vaccines. The main point of interest is just the sheer number of vaccines distributed",The chart is pleasing to the eye and doesn't have informatio n that may sound incredibly fake,Most people in Canada had to deal with the controversy regarding the covid-19 vaccine however I don't think the sheer numbers are something to worry about,I like the use of the colours and its pleasing to the eye,It is easy to understand but there is a lot of information at once,I can understand most of the information but the graph on the right can be confusing,COVID-11
717,6,6,6,3,6,6,6,COVID,12,"I like the use of bullet points on the big flatlines in the data, it makes the information more memorable when you give a reason why","It is interesting to note that many of the asian countries are able to slow the spread, and the extra information provides more debate",The chart is properly sourced by a credible recourse and there is contact information as well,Personally I am not from one of the countries listed so I feel much more of an outsider in the chart and being included in the data.,The use of a line graph makes it very aesthetically pleasing and the different colours help differentiate between countries ,The chart is very easy and simple to understand because of the way the countries are seperated,I can understand the information being provided well and it is simple to see the point being made with the data,COVID-12
718,2,5,3,5,2,5,5,COVID,1,I feel like the information is displayed just too simply for me to feel like it has such an impact,"I do think that this can bring some information on the use of strict quarantines. America is much more lenient while southeast asia would be more strict, so even though Asia has  a much higher population the cases are lower",The chart feels a bit poorly made and theres no real sources other than alluding to the world health organization,I can empathize with data regarding deaths and confirmed cases because it is very heavy hitting and personal based on experience.,"The chart is a bit too simple. I also do not like the use of scientific notation at all on the y axis, it would be better to just write the total in a smaller font",It is simple but that makes it easy to understand so long as you understand how to look at scientific notation.,I do understand the chart very well and it's simplicity does make it very comfortable,COVID-1
719,6,6,7,5,6,5,6,COVID,8,I do like the way the information is organized and the way its organized where the highest population is at the top makes it super memorable,It is very interesting to see the number of tests based on population which is something not talked about much,There is a clear trustworthy journal logo at the bottom and a source,I feel like most people had been tested by covid-19 before and it is easy to empathize with what the chart means and the flatting of the curve.,The use of bubbles makes the chart very easy to understand and I like the way its formatted where the 2 extremes are at opposite ends,At first glance it looks a bit weird but once you look at the legend it becomes very easy to understand,I can get all the information I wish pertaining to the chart without having to look at a legend or other parts.,COVID-8
720,6,7,6,4,6,5,7,GlobalWarming,5,Because of the clear colours used on and also the layout,The chart has good graphics,The rising of the graph is gradually,The chart has good font size used,it has good layout,Allows users grasp key points at a glance,One cannot struggle interpreting it,GlobalWarming-5
721,5,6,6,6,6,6,6,GlobalWarming,6,it has good contrast,It distills complex information,It is well designed allowing view grasp key points easily.,It evokes my emotions,It has good layout,It has sraighforward design,I can interpret easily,GlobalWarming-6
722,6,6,5,6,6,6,6,GlobalWarming,7,It has good contrast,it has good layout,It seems realistic, It evokes my emotion as it talks of temperatures,It has good layout,Arrangement of data is logical,I can easily interpret,GlobalWarming-7
723,2,6,6,6,6,6,6,GlobalWarming,8,it has complex data,It has good mix of colours,It simplify complex data,It has good graphics,It has good design,It has well labelled axes,It is easily seen due to good contrast,GlobalWarming-8
724,2,6,5,4,7,6,7,GlobalWarming,9,It has a lot of data,It has good design,It represent logical data,It has real data,It has good contrast,It has well labelled axes,It is easily interprated,GlobalWarming-9
725,6,7,6,6,6,6,7,GlobalWarming,10,It does not have complex data,It has good sharpness,The data is realistic,Represents data which relate to world issues,It has a good design,The graphics quality is high,I can easily see it,GlobalWarming-10
726,1,3,6,0,2,0,5,COVID,12,way too much information to remember easily,not really something i would be interested in,source is listed,not enough info,very messy chart,could not tell you,hard to read but  not bad overall,COVID-12
727,5,0,2,2,6,4,6,COVID,1,decent amount of information but could be remembered if you wanted to,can't see what the chart is about,could be trustworthy but no source listed ,not really triggering my empathy,good colors and not clean look,not really,nothing that makes me uncomfortable,COVID-1
728,4,6,7,5,6,0,6,COVID,2,the information in the chart is quite a lot and can be hard to remember but the chart and how it looks can be easily remembered,I find that this chart has some interesting information i did not know before,verty trustworthy source listed at the bottem,i can empathize what the chart is about but not so much the chart itself,very good color combinations that go well together. overall a nice design,couldn't tell you,chart is easy to look at and can be comforting with the nice colors,COVID-2
729,5,7,5,2,4,5,6,COVID,3,this chart can be vaguely remembered if needed but not in so much detail,i do find the information very interesting that is displayed in the chart.,i do think this chart can be trusted although i wouldn't be able to tell you why,not really something to empathize with,colors could be better and the text could be worked on to look more aesthetically pleasing,it does make you think ,nothing in this chart that could make me feel uncomfortable although the colors could be better,COVID-3
730,6,7,0,5,7,0,6,COVID,4,not too much information to try to remember. ,The topic of this chart does interest me in more ways than one,nothing that could make me think that this chart is trustworthy or not,the topic is something that you could empathize with,very well done chart looks wise. good choice of colors and images.,not enough information,well done chart that i feel comfortable looking at,COVID-4
731,5,6,7,5,7,5,7,COVID,5,chart could be vaguely remembered but not in detail,chart does display interesting information,trustworthy source is listed,i can empathize with the topic that this chart is about,nice color fading and not too bright or dark overall,it does trigger something in your brain.,good chart that doesnt make you uncomfortable when looking at it,COVID-5
732,7,7,7,0,0,0,7,GlobalWarming,7,easy,it is,becase of NASA,not possible,not possible,not possible,nothing to be unconfortable about,GlobalWarming-7
733,2,7,3,0,1,0,4,GlobalWarming,2,hard to understand,but hard to understand,i dont know,not possible,very complex,not possible,a little complex,GlobalWarming-2
734,3,7,4,0,0,0,7,GlobalWarming,3,hard to remember,good presentation,i dont know,not possible,not possible,not possible,"nothing to be uncomfortable about
",GlobalWarming-3
735,7,7,7,0,6,2,7,GlobalWarming,4,easy,good presentation,seems to be trustable,not possible,looks good,i dont know how to interpret this,nothing to be uncomfortanle about,GlobalWarming-4
736,7,3,7,4,5,0,7,GlobalWarming,5,easily understood,simple,yes it do,i dont know,looks ok,nope,100%,GlobalWarming-5
737,2,7,7,0,4,0,7,GlobalWarming,6,nope,but hard to understand and remember,looks trustworthy,not possible,looks kinda okay,not possible,yes,GlobalWarming-6
738,7,7,7,4,7,7,7,GlobalWarming,9,The chart shows a lot of information and it is very easy to understand.,I like the way the chart shows everything and it makes it very interesting.,I strongly agree with what the chart is showing.,It could show a lot of information and could explain what is going on ,Understanding ,Understanding ,I feel very comfortable with what it is showing ,GlobalWarming-9
739,7,4,4,4,4,7,0,GlobalWarming,10,Because it is easy to remember and to understand.,The chart is not that interesting cause it doesn't explain a lot.,I don't think it is showing all of the facts.,I don't have a reason ,I don't have a reason.,I don't have a reason ,I don't think it is showing all of the information.,GlobalWarming-10
740,7,7,7,0,4,4,4,GlobalWarming,11,Because it is easy to remember ,Cause it might be showing interesting information.,Because it might be something that is happening,I don't think it sharing all of the information.,It not sharing all the information ,It not sharing all of the information ,It not sharing all of the information ,GlobalWarming-11
741,7,7,4,4,4,4,4,GlobalWarming,12,I find it interesting and easy to remember ,Because of the colours and the way it showing the things that happening on the chart ,It could explain more in details about what it is about.,It not sharing all the information ,It not sharing all of the information ,It not sharing all of the information ,It not sharing all of the information ,GlobalWarming-12
742,7,7,7,7,7,7,7,GlobalWarming,1,Yes because it is showing how the world looks and showing the heat ,It is very interesting because of the colours.,Because it is something that is happening ,Because it is showing something that is happening ,It is showing facts ,It is showing facts ,Because it is showing facts.,GlobalWarming-1
743,7,7,7,7,7,7,7,GlobalWarming,2,Because of the colours.,Because of the colours ,Because it is showing facts ,Because of the information and facts ,Because of the information and facts ,Because of the information ,Because of the information and the facts it is showing ,GlobalWarming-2
744,3,6,4,4,5,4,5,COVID,7,Not very easy to remember,Factual,I like to check my sources,Unsure,It is a good chart,Unsure,Easy chart,COVID-7
745,3,5,5,4,6,4,5,COVID,8,A lot of information involved,Factual,I would check my facts with other sources,Everyone can,Its in a different format,Unsure,Easy to understand,COVID-8
746,1,5,4,5,6,4,5,COVID,9,Too much information,Factual albeit interesting,I would need to double check the sources,Everyone can as it was a difficult time for the whole world,Looks nice,Unsure,Easy enough to understand,COVID-9
747,5,5,5,5,5,4,5,COVID,10,A lot easier to remember than chart 3,Sort of yes,Would need to check my sources,As before everyone can,Its a nice chart,Unsure,easy to understand,COVID-10
748,3,6,4,4,6,4,6,COVID,11,A lot of info,Chart is interesting,As before I would need to check my sources,Dont live in |US therefore not so much,Nicely laid out,Unsure,Easy enough,COVID-11
749,1,5,3,4,6,4,5,COVID,6,Too much info,Interesting enough,No source info,Whole world can,Nicely laid out,Unsure,Easy enough,COVID-6
750,2,6,7,1,6,6,6,COVID,8,The chart is not clearly explained ,It is interesting to find out that china had the highest number of testings,Vox seems like a trustworthy source,No,It is a good representation of facts,Learnt a great deal from the chart,the chart is clear,COVID-8
751,6,6,6,6,7,6,7,COVID,9,Because the data presented is relatable,It is interesting to find out that fewer countries are reporting exponential growth,ECDC seems like a trustworthy source,Agree because a lot of people were lost to the subject topic,The chart is a good representation of data,Learnt a great deal from the chart,Strongly agree because its a nice way to present data,COVID-9
752,6,7,0,6,6,6,7,COVID,4,Data is well presented,Its interesting to find out that S. Korea has over 400 percent of USA's rate,The source is not stated,I empathize with the people of S Korea,Beautiful use of color,It is easy to understand,It is easy to read,COVID-4
753,2,6,7,5,2,5,5,COVID,5,Th data is overwhelming ,Interesting to find November having the highest rate,CDC is a trustworthy source, ,It is a boring chart,It is easy to read,The chart is pretty straightforward one ,COVID-5
754,1,5,0,6,6,2,2,COVID,6,There is too many information to remember at once,To find out that Japan had the highest rate of New cases and New death,No source provided,I empathize with the subject topic,Beautiful use of color,Not easy to read ,I find the chart confusing,COVID-6
755,7,6,7,6,2,6,6,COVID,7,Straightforward comparison between 2 countries,The sudden spike between September and January is quite interesting,Statista is a trustworthy source,Empathize with the subject topic,Basic chart,Easy to read and understand,I got the message being passed at a glance,COVID-7
756,5,5,0,4,5,6,4,GlobalWarming,12,the use of colour makes it more memorable ,the content of the chart is interesting as there is a clear illustration of the fact the earth is heating up,we are unaware of the source of the charts data ,the chart does not have any emotional component ,the colours used are bright,the chart is clear and easy to comprehend ,the chart is clear,GlobalWarming-12
757,4,5,0,4,4,1,1,GlobalWarming,1,the chart doesn't have any memorable components,the chart is moderately interesting due to its contents,we are unaware of the source of the charts data,there is no emotional component to the chart,the colours used are bright but are not easy on the eyes,the chart is not easy to understand - you cannot gauge the trend form 1973 to 2023,the chart is hard to comprehend,GlobalWarming-1
758,1,0,0,4,4,3,0,GlobalWarming,2,there are no memorable characteristics about the chart ,the subject matter is unclear and so it is hard to assess interest,we are unaware of the source of the charts data,there are no emotional components to the chart,the colours used are bright and the chart isn't cluttered,the chart is not that easy to understand,the subject matter of the chart is unclear and so it is not possible to gauge comfort,GlobalWarming-2
759,1,5,0,4,4,6,4,GlobalWarming,3,there are no memorable characteristics of the chart,the content of the chart is interesting to determine trends,we are unaware of the source of the data used in the chart,there are no emotional components to the chart,the chart used bright colours to illustrate the data,the chart is easy to read and understand,the charts information is easy to gauge,GlobalWarming-3
760,7,6,0,4,5,7,7,GlobalWarming,4,the chart is simple and not overcomplicated which makes is easier to recall its contents.,the data from the chart is interesting,we are unaware of the source of the charts data,there are no emotional components to the chart,the colours used are helpful in illustrating the data nicely,the chart is extremely easy to read and understand,the chart is clear and concise ,GlobalWarming-4
761,5,6,0,4,7,7,7,GlobalWarming,11,the chart is not overwhelmed with information,the chart is comparative and so shows data from two different time periods,we are unaware of the source of the charts data,the chart does not have any emotional component ,the colours used aid in illustrating the data in an attractive way to the viewer,the chart is very easy to read and understand,the chart is easy to understand,GlobalWarming-11
762,2,3,6,2,5,5,5,GlobalWarming,10,The are many characters to remember.,I don't find it interesting.,Looks reliable.,I don't relate.,Not pleasing to me.,I don't find it intuitive.,I feel comfortable with it.,GlobalWarming-10
763,4,6,5,2,6,7,4,GlobalWarming,11,There is a lot of information to remember.,I find it interesting to look at.,I feel like I can trust it.,i don't relate to it.,I like it.,it is reliable.,I find it neutral.,GlobalWarming-11
764,7,6,7,4,7,6,5,GlobalWarming,12,The information on the chart is easy to understand and remember.,Easy to ready and interesting.,The chart looks like it is from a reliable source.,I don't have any feelings related to the chart.,It is amazing to look at.,I find it reliable.,I feel at ease when I look at the chart.,GlobalWarming-12
765,7,6,7,6,6,7,5,GlobalWarming,1,I find it easy to understand and I can easily remember it.,I find it interesting because i am familiar with it.,I trust the source of the chart.,I an relate with the level of hotness.,t is interesting to look at.,I trust it.,I feel comfortable with it.,GlobalWarming-1
766,3,5,5,2,5,3,2,GlobalWarming,2,There is a lot of information to process.,Looks a little ineresting.,I trust the source of the chart.,No personal feelings.,Look pleasing.,no emotional feelings towards the chart.,I don't feel comfortable when looking at it.,GlobalWarming-2
767,1,2,4,2,2,3,3,GlobalWarming,3,There is a lot of information that can't be easily remembered .,I feel distracted by the amount of information on it.,I doubt it.,no feelings.,the amount of information distracts me.,not reliable,no  personal feelings.,GlobalWarming-3
768,7,6,5,2,6,4,6,HousePrice,3,It seems very complicated which makes it hard to remember.,It is a little bit interesting to read.,It does look trustworthy.,I do not see anything that  can make me empathize with it.,I do not have a reason as to why I said this.,"Yes, It is intuitive.",It makes me have a calm mindset,HousePrice-3
769,6,6,4,4,6,4,7,HousePrice,4,The way it is structure of it makes t easy to remember.,It is interesting to read whats written in it.,I am not sure whether it is trustworthy or not.,I do not feel anything towards it,I love the way it is detailed.,I am not sure about that,It makes my mind feel relaxed.,HousePrice-4
770,7,7,4,2,2,4,4,HousePrice,5,The way it is displayed makes it easy to remember.,It does look interesting,I am not sure how to answer this part,There is nothing that can make me empathize with it,It is not like that.,I am not sure.,I do not know how to answer this part.,HousePrice-5
771,7,4,4,4,4,4,4,HousePrice,6,Everything is laid in a way that will make it easy for one to remember.,I do not have a reason for my answer,I do not have a reason for my answer,I do not have a reason for my answer,I do not have a reason for my answer,I do not have a reason for my answer,I do not have a reason for my answer,HousePrice-6
772,7,4,4,4,4,4,4,HousePrice,7,The display and layout makes it easy to remember.,I do not have a reason for my answer,I do not have a reason for my answer,I do not have a reason for my answer,I do not have a reason for my answer,I do not have a reason for my answer,I do not have a reason for my answer,HousePrice-7
773,1,2,4,4,5,4,4,HousePrice,8,It looks complicated which will make it hard to remember it.,It looks boring to me because of the way it is laid and displayed.,I do not have a reason for my answer.,I do not have a reason for my answer.,It does look aesthetically pleasing because of the different colors and layout.,I do not have a reason for my answer,I do not have a reason for my answer.,HousePrice-8
774,7,7,7,7,7,7,7,COVID,5,The visual graph makes it easier to understand and remember.,"Yes, the colors make me want to read it.","Yes, because the Covid numbers did go up.","Yes, because seeing sick is not nice and covid killed a lot of people.","Yes, because of the colors.",Covid cases did go up alot.,It's simple and easy to read.,COVID-5
775,7,7,7,7,7,7,7,COVID,6,"Yes, it is because of the colors, it's easy to remember as they are so bright.",The different shades of color make it more appealing.,"Yes, as it seems to have a lot of information on it","Yes, because it is talking about death.","Yes, because of the different shades of bright colors",There was a rise in deaths so I can believe what the chart says.,It's easy to read and is memorable.,COVID-6
776,7,7,7,7,7,7,7,COVID,7,The spikes make it easier to remember.,The different colors make it interesting.,"Yes, because there was a rise in Covid cases.",It's sad to see so many people getting sick.,"Yes,because of the colors and its simplicity.","Yes, because there was a rise in Covid cases.",It's easy to understand and straightforward.,COVID-7
777,7,7,0,7,7,0,7,COVID,8,"Yes, because of the colored circles.","Yes, because of the visual display.",Maybe not all testing was recorded.,"Yes, because people were worried about their health","Yes, because of the way the circles are displayed.",Does not represent a lot of countries.,Its easy to read and understand.,COVID-8
778,7,7,1,7,7,1,7,COVID,9,"Yes, because of the bright colors used.","Yes, the bright colors make it interesting.",Not all countries were reporting the correct statistics.,"Yes,because it represents people getting sick.","Yes, because of the bright colors used.",Some countries were reporting false information.,It's easy to read and understand.,COVID-9
779,7,7,0,7,7,0,7,COVID,4,"Yes, has bright different colors.","Yes, because of the different colors used.",Some countries were not reporting on actual cases.,"Yes, because it shows how many people were getting sick.","Yes, because of the bright colors used.",Some countries were not honest about the number of cases.,"Yes, its easy to read and understand.",COVID-4
780,2,3,2,4,1,2,2,HousePrice,4,"There is too much going on with the chart. The different colors, the x-axis for years, the y-axis for the different cities, make it feel all over the place for the reader.","It's unique in that most viewers likely have not seen a chart like this before, but visually for me I won't enjoy reading it.",The source just states from the Bank of Canada but I feel having a citation (and multiple ones at that) would improve its credibility.,I don't feel strongly about the chart. ,The bold colors make it too much for the eyes.,"In my opinion, it's not that intuitive because I have to use mental energy to individually see each city and which year and then double checking its color compared to another city.","Overall, I do not enjoy looking at it or reading through it, so I'm not that comfortable.",HousePrice-4
781,6,6,7,0,7,7,7,HousePrice,5,The clear defined peaks and bolded red letters makes the information simple and easy to remember.,"I think it's interesting to read through, with the arrows showing the percentage increase or decrease making it feel like a fun fact.","The numbers, source, plus a website to go to makes it appear credible.","I think the chart information makes sense, but I don't think the chart has emotions so I'm not sure how I can emphathize with it.",It's a simplistic chart with bold colors detailing the main information. I like it.,It's very easy to look through with good use of negative space.,I enjoyed looking at the chart and reading what it has to offer.,HousePrice-5
782,5,7,6,6,5,3,5,HousePrice,6,"There's nothing very noteworthy about it, but it's not bad enough to not be remembered.","I like the use of different warm and cool colors, and the text isn't too boring to read.","I like that there's a source with a specification of ""Real Estate Transaction-price Search"", a few more sources would make it better.","With COVID-19, I can emphathize with the increase in prices, especially in cities. ","I like the gradient of colors, but it feels too much, especially with all the different colors in the 2020 figure. A more simplistic style would be appreciated. ","It takes a while to understand the chart. Having to see the location, the year, the colors and what they mean, overall makes it not intuitive for me.","Overall it's not a bad chart, but not a great one.",HousePrice-6
783,5,4,4,0,4,7,5,HousePrice,7,"I don't think the average viewer would walk away remembering the percentages of each country's house price increase, but the visuals might help. ","In my opinion, I don't find the topic that interesting so I may be biased. ",The disclaimer at the bottom and the source makes it a little less trustworthy compared to having a credible government source.,"Instead of emphathize, I mostly sympathize with the countries with the most increases. I feel bad for the people wanting to buy a house in Turkey, New Zealand, or Slovakia.",The limited colors and the tile somehow being larger than the visual is what makes it not that great for me. It's a bit oring,"It's easy to understand, with the bars correlating with the percentage.","It's overall a good chart, not that bad but not great.",HousePrice-7
784,7,7,6,0,7,7,6,HousePrice,8,The green and red makes it easy to look at and compare.,The gradient and the percentages matching how big the colored bar is makes it interesting to look through.,I think the source chosen is credible.,I have no comment.,"I like the gradient shift from green to red, and the visual of the colored map also helps.","I think it's easy to see which province is what percentage thanks to the color scheme, hence it's intuitive.",I like reading through the chart and the visuals. Overall it was a positive experience.,HousePrice-8
785,4,3,6,4,2,6,5,HousePrice,9,The lack of notable colors or words makes it easy to forget.,The grey scale and the bunch of different text makes it feel like a boring figure in a school textbook.,"I like the source they used, plus the website at the bottom. Overall it looks trustworthy.","I don't live in the US so there's nothing for me to emphathize with here, except for poor citizens having to deal with inflation.",The lack of a good color scheme makes it boring to me.,"I feel like it's very intuitive, the trend of the graph and bolded words makes it easy to understand.","Overall, I don't feel bad reading the chart, it's still informational in the end.",HousePrice-9
786,5,6,5,7,7,5,1,COVID,4,Its a pie chart with a good title which is easy to understand.,It shows things to the point,Yes seems true to me,Since i went through the covid phase i can relate,Looks pretty,Looks like its based on facts with reported cases,Many of the colors in the chart look orange. Im not able to figure out which one is fist.,COVID-4
787,1,1,4,1,4,1,4,COVID,5,Long title and too many details to remember ,The y axis is not labeled properly i feel,Looks like its taken from some government website,Its too difficult to understand that i cannot relate to this.,It looks like a normal chart nothing special about it,I feel this is based on real data rather than intuition,It is a little difficult to understand because of all the information,COVID-5
788,6,7,7,6,7,1,7,COVID,12,Most details can be remembered as it is clear and understandable.,Yes from the headlines to the details in the chart it shows exactly whats the rate of increase in the covid cases,I feel its taken from a good study.,Not all countries are mentioned so its difficult to relate but most countries are there ,I like the colors,Its taken from a study,I was easily able to understand it ,COVID-12
789,1,4,2,0,4,4,1,COVID,1,The y axis is labeled in terms of exponents which is a bad way to represent data. I have to manually convert which is difficult.,Its a very simple chart for it to be interesting,Theres no information about the source of this information. Also the chart is not created properly.,The data is not enough to understand.,The colors are fine,The source is not known,Both the charts can me merged into 1. Also the y axis labels are not proper,COVID-1
790,5,7,7,7,7,2,7,COVID,2,Too many numbers on the chart,The chart is up to the point and shows all the details about the PICU patients. ,Its taken from a valid source and is structured properly for us to understand.,I used to read the news during this time and can relate to how many kids were admitted.,Very nicely structures with a distinct pattern of how within few days the cases increased,Its based on facts,Its easy to understand,COVID-2
791,5,7,7,6,7,2,7,COVID,3,Some parts of it can be remembered like where the highest vaccination rate is ,It shows how many people of the state got vaccinated,It seems its taken from real vaccination survey,I myself got vaccinated,The colors contrast is very good and easy to distinguish,This data looks like its taken from surveys,The chart is complete and easy to understand,COVID-3
792,7,7,7,7,1,4,1,HousePrice,2,It is explained in a simple way in which you can see,You can see how the price of houses changes over the years and guess how much they will be worth in future years.,Inflation is affecting house prices too much,"Houses used to cost less than now, I can see why my parents tell me to appreciate things",It saddens me to see how inflation affects the prices of houses,"You cannot know at all if house pricescontinue like this, will continue to increase or will decrease which scares me",I am worried about my future and how much it will cost me to have my own family and house,HousePrice-2
793,1,7,7,7,1,7,1,HousePrice,3,it's hard for me to remember,you can see how it fluctuates and it is not stable,It terrifies me to see the price of houses,"It saddens me to see how Latin America's chart is the worst, however seeing how Mexico is the most stable makes me have hope",I don't like how the prices escalate so quickly,You can see how things will be in the future,im scared of the future prices,HousePrice-3
794,1,6,7,4,4,7,4,HousePrice,4,it's hard for me to remember,i think it is pretty high,These are official data from the Bank of Canada,I can empathize with the canadian people based on the chart percentage,I think it's quite interesting,you can see what it will be like in the future,It scares me to think about the people of Canada and the crisis they are having,HousePrice-4
795,7,7,7,7,6,7,6,HousePrice,5,it's easy to understand based in the chart,i  can see the ups and downs,It is interesting to me to be able to see price index,I can see the inflation,I can get an idea of ​​what it will be like in the future by analyzing it,i can analyze it and guess if it will increase or decrease,It scares me to think that I am in that situation,HousePrice-5
796,7,7,7,7,1,7,1,HousePrice,6,It is a fairly simple and easy to understand chart.,You can see the change of the houses due to covid,It's something I experienced,I can sympathize since it is something I experienced,It's not a pleasant thing to be in that situation,"you can see how the covid pandemic affected the houses prices, not only in japan but in the world",I'm scared that it will happen again,HousePrice-6
